ax,ay,az,gx,gy,gz,time
1.65,-0.2,7.73,0.12,-0.16,-0.18,1771658355.147267
1.65,-0.2,7.73,0.27,-0.51,-0.12,1771658355.160274
-0.01,-0.1,7.69,0.28,-0.75,-0.03,1771658355.173321
-1.77,0.02,8.22,0.05,-0.77,0.07,1771658355.186291
-1.77,0.02,8.22,-0.07,-0.62,0.1,1771658355.199297
-2.22,0.11,7.65,-0.1,-0.45,0.15,1771658355.212325
-1.14,-0.25,5.87,0.09,-0.26,0.23,1771658355.225474
0.49,-0.92,9.56,0.28,-0.34,0.22,1771658355.238301
0.49,-0.92,9.56,0.37,-0.47,0.18,1771658355.251453
2.47,-0.1,12.24,0.18,-0.86,0.17,1771658355.26434
2.82,0.97,11.14,0.18,-1.12,0.13,1771658355.2772841
2.82,0.97,11.14,0.3,-1.55,0.13,1771658355.2903821
3.76,-0.07,10.24,0.6,-2.29,0.31,1771658355.303338
2.37,0.12,10.4,0.63,-2.48,0.39,1771658355.3163562
2.37,0.12,10.4,0.55,-2.62,0.57,1771658355.329328
0.61,0.61,11.82,0.27,-1.88,0.76,1771658355.34237
-2.24,1.38,11.76,-0.02,-0.93,0.59,1771658355.35534
-1.94,1.32,10.14,0.1,0.15,0.39,1771658355.3684149
-1.94,1.32,10.14,0.01,1.91,-0.29,1771658355.381435
0.09,0.79,10.45,-0.1,2.11,-0.46,1771658355.394326
2.26,0.03,9.72,-0.14,2.06,-0.41,1771658355.4074922
2.26,0.03,9.72,-0.06,1.9,-0.22,1771658355.420377
1.12,0.44,10.26,-0.04,1.94,-0.26,1771658355.433621
0.78,0.32,11.31,-0.06,2.04,-0.3,1771658355.446346
1.44,0.34,10.38,-0.15,2.0,-0.42,1771658355.459342
1.44,0.34,10.38,-0.19,1.85,-0.39,1771658355.472395
1.87,-0.23,9.54,-0.22,1.53,-0.29,1771658355.4853811
1.68,-0.19,8.32,-0.32,0.64,-0.09,1771658355.498667
1.68,-0.19,8.32,-0.31,0.03,0.04,1771658355.511317
1.49,-0.58,7.62,-0.14,-1.07,0.18,1771658355.524429
1.89,-0.12,8.02,-0.05,-1.65,0.23,1771658355.5373719
1.89,-0.12,8.02,-0.01,-2.2,0.31,1771658355.550462
2.51,0.04,8.73,0.28,-3.29,0.66,1771658355.563314
2.2,0.22,10.19,0.16,-3.72,0.69,1771658355.576378
1.6,-0.17,10.98,0.02,-3.95,0.74,1771658355.589422
1.6,-0.17,10.98,-0.07,-3.68,0.83,1771658355.602408
0.07,0.18,11.28,-0.0,-3.1,0.86,1771658355.6154292
-1.15,1.19,12.07,-0.04,-2.0,0.75,1771658355.628503
-1.15,1.19,12.07,-0.11,0.87,0.17,1771658355.6414368
-0.75,0.78,11.54,-0.23,1.78,-0.07,1771658355.654468
1.51,0.33,10.29,-0.29,2.26,-0.19,1771658355.6674292
1.51,0.33,10.29,-0.18,2.64,-0.55,1771658355.6804779
1.95,0.22,9.7,-0.06,2.63,-0.65,1771658355.693401
1.82,0.23,10.44,-0.02,2.52,-0.63,1771658355.706512
1.56,0.15,10.72,-0.14,2.16,-0.58,1771658355.719468
1.56,0.15,10.72,-0.16,1.94,-0.52,1771658355.7324018
1.56,0.12,9.92,-0.11,1.68,-0.43,1771658355.745413
2.01,-0.13,8.73,-0.12,0.94,-0.31,1771658355.7584572
2.01,-0.13,8.73,-0.06,0.41,-0.26,1771658355.771353
3.71,-0.33,7.13,0.03,-0.36,-0.25,1771658355.784371
4.85,-0.74,7.6,0.19,-2.26,-0.13,1771658355.797441
3.76,-0.54,8.37,0.2,-3.04,-0.04,1771658355.810379
3.76,-0.54,8.37,0.33,-3.63,0.08,1771658355.8233879
1.45,-0.83,11.25,0.51,-3.97,0.5,1771658355.836637
-0.5,1.07,13.13,0.4,-3.68,0.73,1771658355.8500538
-0.5,1.07,13.13,0.32,-2.91,0.77,1771658355.862401
-2.22,0.89,10.91,0.18,-1.44,0.32,1771658355.875266
1.07,0.1,8.74,0.57,-0.6,0.41,1771658355.888389
1.07,0.1,8.74,0.63,0.44,0.3,1771658355.901254
0.84,-0.27,11.68,-0.11,1.89,-0.09,1771658355.91443
