emg,ax,ay,az,gx,gy,gz,time
9693.0,-0.11,0.02,10.0,0.01,0.01,-0.0,1771668805.567847
24848.0,-0.12,0.06,9.94,0.01,0.01,0.0,1771668805.5679512
13095.0,-0.12,0.06,9.94,0.01,0.01,-0.0,1771668805.5680552
1235.0,-0.16,0.01,9.94,0.01,0.01,-0.01,1771668805.568157
15795.0,-0.15,0.06,9.96,0.01,0.02,-0.0,1771668805.5682602
22182.0,-0.15,0.06,9.96,0.01,0.01,0.0,1771668805.5683641
6751.0,-0.09,0.1,10.02,0.01,0.01,-0.0,1771668805.5684679
6100.0,-0.1,-0.0,9.96,0.01,0.01,0.0,1771668805.5685692
19644.0,-0.1,-0.0,9.96,0.01,0.02,-0.0,1771668805.568678
14014.0,-0.02,0.08,10.18,0.0,0.15,-0.01,1771668805.5688589
6901.0,-0.02,0.08,10.18,-0.04,0.51,-0.03,1771668805.568995
20751.0,1.92,-0.04,11.42,-0.12,1.56,0.15,1771668805.5691059
25845.0,-0.56,-0.1,9.86,-0.28,1.4,0.22,1771668805.569213
14595.0,-0.56,-0.1,9.86,-0.33,1.16,0.11,1771668805.56932
5527.0,-0.49,-0.02,10.3,-0.44,1.05,0.11,1771668805.56943
19151.0,-0.56,-0.23,9.48,-0.51,0.9,0.22,1771668805.569535
